Date,CompleteTreatment,SyringeNo,Species,Round,Sex,Pre-Weight,Post-Weight,Hours,Minutes,ChmVol,InjVol,TVCO2,TVO2,Treatment,Comment,Line,Mass,Time,Volcorr,O2pHRraw,O2pHR,CO2pHR,RQ,O2pHRpG,CO2pHRpG
NA,HighTempt_Switched,6,DMEL,7,M,0.00068,0.00031,4,14,0.5,0.25,2.65E-05,2.01E-05,HighTemp,dead,Switched,0.00037,4.23,0.578,1.10E-05,1.01E-05,1.44E-05,1.43687834,0.027178185,0.039051746
NA,HighTempt_Switched,15,DMEL,8,M,0.00071,0.0007,4,10,0.5,0.25,5.47E-05,4.04E-05,HighTemp,,Switched,0.00001,4.17,0.578,2.24E-05,2.03E-05,3.03E-05,1.49114036,2.0341064,3.033138147
NA,HighTempt_Switched,20,DMEL,8,M,0.00079,0.00067,4,22,0.5,0.25,5.04E-05,3.69E-05,HighTemp,,Switched,0.00012,4.37,0.578,1.95E-05,1.77E-05,2.67E-05,1.51076947,0.147101641,0.222236668
NA,Control_Switched,29,DPSE,3,M,0.00098,0.00083,4,15,0.5,0.25,4.88E-05,3.69E-05,Control ,,Switched,0.00015,4.25,0.578,2.00E-05,1.83E-05,2.66E-05,1.45057119,0.122096154,0.177109163
NA,Control_Switched,15,DPSE,2,F,0.00149,0.001,4,20,0.5,0.25,6.49E-05,4.88E-05,Control ,,Switched,0.00049,4.33,0.578,2.60E-05,2.38E-05,3.46E-05,1.45618886,0.048487692,0.070607237
NA,HighTempt_Switched,8,DMEL,7,M,0.0006,0.00059,4,18,0.58,0.25,5.49E-05,3.83E-05,HighTemp,ChamberVol.5.8,Switched,0.00001,4.3,0.658,2.34E-05,2.07E-05,3.36E-05,1.6221442,2.072673769,3.362175723
NA,HighTempt_Switched,2,DMEL,7,M,0.00068,0.00064,4,3,0.66,0.25,4.55E-05,3.15E-05,HighTemp,Chambervol.6.6,Switched,0.00004,4.05,0.738,2.30E-05,2.03E-05,3.32E-05,1.63300806,0.507559982,0.828849543
NA,HighTempt_Switched,9,DMEL,7,M,0.00069,0.00063,4,21,0.77,0.25,3.70E-05,2.55E-05,HighTemp,Chambervol.7.7,Switched,0.00006,4.35,0.848,1.99E-05,1.75E-05,2.88E-05,1.64593858,0.292026298,0.480657351
NA,Control_Switched,15,DMEL,11,M,0.0008,0.0007,4,33,0.5,0.25,6.79E-05,5.02E-05,Control ,,Switched,0.0001,4.55,0.578,2.55E-05,2.32E-05,3.45E-05,1.48882776,0.231577902,0.34477961
NA,HighTempt_Switched,14,DMEL,8,M,0.0007,0.00056,4,8,0.5,0.25,6.47E-05,4.28E-05,HighTemp,,Switched,0.00014,4.13,0.578,2.40E-05,2.07E-05,3.62E-05,1.74760234,0.147957268,0.258570468
NA,Control_Switched,24,DPSE,3,M,0.00066,0.00051,4,4,0.5,0.25,4.11E-05,2.91E-05,Control ,,Switched,0.00015,4.07,0.578,1.66E-05,1.48E-05,2.34E-05,1.58172778,0.098431422,0.155691714
NA,Control_Switched,21,DPSE,2,M,0.00101,0.00086,4,36,0.5,0.25,5.28E-05,3.75E-05,Control ,,Switched,0.00015,4.6,0.578,1.88E-05,1.68E-05,2.66E-05,1.58240276,0.111866169,0.177017335
NA,HighTempt_Switched,11,DMEL,7,M,0.00062,0.00061,4,26,0.78,0.25,3.17E-05,2.09E-05,HighTemp,Chambervol.7.8,Switched,0.00001,4.43,0.858,1.62E-05,1.39E-05,2.46E-05,1.76424265,1.392327087,2.456402825
NA,Control_Switched,27,DMEL,12,F,0.00107,0,0,0,0.5,0.25,0.00E+00,0.00E+00,Control ,"Gotstuckinthechamber,noreading",Switched,0.00107,0,0.577,0.00E+00,0.00E+00,0.00E+00,0,0,0
